src 104.85.118.250
src 184.24.41.106
1: 141.213.135.2 4.032
2: 198.108.11.16 3.804
3: 141.211.0.150 4.814
4: 141.211.0.162 4.555
5: 192.12.80.138 3.16
6: 192.12.80.33 2.868
7: 198.108.23.50 8.248
8: 64.57.29.177 29.871
9: 107.14.16.81 15.465
10: 107.14.19.132 32.082
11: 66.109.6.31 32.301
12: 66.109.6.29 51.585
13: 66.109.6.27 36.889
14: 66.109.6.25 50.352
15: 107.14.17.199 29.604
16: 184.24.41.106 29.084
src 184.24.41.106
1: 192.0.39.209 6.439
2: 192.0.35.241 3.557
3: 192.0.35.249 7.288
4: 4.71.140.221 5.338
5: 4.69.201.5 10.136
6: 4.69.158.78 6.457
7: 4.69.158.78 14.909
8: 66.109.9.121 18.553
9: 107.14.19.87 69.062
10: 66.109.6.226 55.835
11: 66.109.6.20 57.761
12: 66.109.6.189 55.012
13: 184.24.41.106 55.804
src 184.24.41.106
1: 204.115.118.2 2.982
2: 63.234.91.241 4.791
3: 67.14.5.98 5.384
4: 206.111.13.70 4.587
5: 216.156.16.132 27.449
6: 207.88.12.168 27.413
7: 207.88.13.131 27.429
8: 216.156.72.134 59.945
9: 184.24.41.106 30.097
src 184.24.41.106
1: 38.103.8.17 1.509
2: 38.112.14.125 0.912
3: 154.54.42.69 1.193
4: 154.54.31.105 1.78
5: 154.54.7.158 12.541
6: 154.54.28.70 26.939
7: 154.54.41.66 31.779
8: 154.54.28.74 31.952
9: 154.54.11.50 33.738
10: 107.14.17.237 45.808
11: 66.109.6.23 45.441
12: 66.109.6.20 46.051
13: 107.14.17.199 42.921
14: 184.24.41.106 43.568
src 184.24.41.106
1: 69.172.135.33 0.925
2: 10.100.101.37 2.271
3: 10.100.101.60 27.308
4: 10.100.101.49 25.416
5: 69.172.135.177 25.113
6: 69.172.128.13 38.151
7: 108.60.130.141 60.808
8: 108.60.141.134 48.443
9: 69.9.32.101 40.447
10: 108.60.128.69 43.928
11: 62.115.42.41 42.783
12: 62.115.34.146 83.451
13: 66.109.6.162 66.431
14: 66.109.6.25 64.105
15: 66.109.1.197 68.146
16: 184.24.41.106 70.491
src 184.24.41.106
1: 192.168.1.1 0.567
2: 10.157.0.1 6.747
3: 172.23.64.89 7.537
4: 38.122.47.53 11.993
5: 154.54.6.101 12.737
6: 154.54.28.70 26.122
7: 154.54.41.66 32.917
8: 154.54.28.74 31.467
9: 154.54.11.50 31.368
10: 107.14.17.233 43.607
11: 66.109.6.23 43.524
12: 66.109.6.20 48.884
13: 107.14.17.199 42.001
14: 184.24.41.106 42.71
src 184.24.41.106
1: 162.223.16.141 1.537
2: 204.238.76.49 0.711
3: 204.238.76.54 4.873
4: 107.14.16.81 23.854
5: 66.109.6.182 33.898
6: 66.109.6.31 33.748
7: 66.109.6.29 33.224
8: 66.109.6.27 39.369
9: 66.109.6.25 38.35
10: 66.109.1.197 31.756
11: 184.24.41.106 32.276
src 184.24.41.106
1: 128.3.124.1 1.376
2: 131.243.244.130 0.752
3: 198.129.78.21 2.76
4: 134.55.38.146 5.025
5: 206.111.6.168 2.736
6: 207.88.13.228 63.079
7: 207.88.12.148 65.01
8: 207.88.12.150 53.509
9: 207.88.12.161 52.47
10: 207.88.12.144 52.46
11: 207.88.12.190 52.313
12: 207.88.12.189 53.577
13: 207.88.12.164 59.628
14: 207.88.13.131 75.339
15: 216.156.72.134 52.556
16: 184.24.41.106 53.198
src 184.24.41.106
1: 128.210.125.1 1.55
2: 192.5.40.10 1.331
3: 192.5.40.65 1.918
4: 192.5.40.82 7.436
5: 64.57.21.13 7.034
6: 64.57.20.54 8.145
7: 66.109.1.67 8.865
8: 66.109.6.189 7.274
9: 184.24.41.106 8.214
src 184.24.41.106
1: 10.0.1.1 0.606
2: 128.4.25.1 22.427
3: 128.175.111.135 1.302
4: 128.175.111.137 2.359
5: 38.112.7.61 3.228
6: 154.54.0.189 3.111
7: 154.54.42.101 7.377
8: 154.54.24.222 18.35
9: 154.54.28.130 32.29
10: 154.54.44.230 37.366
11: 154.54.47.214 37.404
12: 154.54.11.50 37.34
13: 107.14.19.96 43.93
14: 66.109.6.23 49.882
15: 66.109.6.20 42.069
16: 66.109.6.189 41.804
17: 184.24.41.106 43.241
src 184.24.41.106
1: 192.168.254.254 0.995
2: 74.42.148.225 26.184
3: 74.42.151.57 21.559
4: 74.40.3.34 27.137
5: 74.40.4.142 25.683
6: 206.111.2.148 25.815
7: 216.156.72.166 25.693
8: 184.24.41.106 26.234
src 184.24.41.106
1: 192.94.214.254 3.873
2: 192.70.178.1 4.224
3: 165.117.254.93 12.577
4: 216.156.0.33 58.481
5: 207.88.12.33 36.893
6: 207.88.14.194 25.931
7: 216.1.123.26 34.141
8: 184.24.41.106 44.366
src 184.24.41.106
1: 128.9.112.7 3.737
2: 198.32.16.30 6.613
3: 137.164.23.225 3.929
4: 206.111.14.81 2.857
5: 207.88.14.212 59.352
6: 207.88.12.140 57.601
7: 207.88.12.146 68.165
8: 207.88.12.190 69.11
9: 207.88.12.189 105.728
10: 207.88.12.164 79.641
11: 207.88.13.131 58.827
12: 216.1.123.54 66.969
13: 184.24.41.106 70.168
src 184.24.41.106
1: 198.180.152.3 4.286
2: 157.238.224.149 3.683
3: 129.250.3.107 2.59
4: 129.250.9.194 3.483
5: 66.110.56.5 27.688
6: 64.86.79.120 29.058
7: 64.86.79.2 36.972
8: 63.243.129.22 34.942
9: 184.24.41.106 73.568
src 184.24.41.106
1: 199.115.158.226 0.729
2: 199.115.158.130 0.662
3: 209.51.161.29 13.561
4: 209.51.175.34 0.695
5: 107.14.17.203 27.624
6: 66.109.6.31 29.334
7: 66.109.6.29 28.429
8: 66.109.6.27 31.369
9: 66.109.6.25 27.812
10: 66.109.1.197 27.206
11: 184.24.41.106 28.185
src 184.24.41.106
1: 65.22.12.226 0.408
2: 38.104.95.233 1.031
3: 154.54.31.157 1.531
4: 154.54.0.222 28.677
5: 154.54.44.230 33.45
6: 154.54.47.214 33.462
7: 154.54.11.50 33.321
8: 107.14.17.233 44.472
9: 66.109.6.23 47.157
10: 66.109.6.20 46.412
11: 66.109.6.153 43.75
12: 184.24.41.106 44.536
src 184.24.41.106
1: 209.58.135.172 0.466
2: 209.58.135.194 1.207
3: 209.58.135.193 0.939
4: 38.122.94.53 0.863
5: 154.24.30.41 1.329
6: 154.54.44.97 1.258
7: 154.54.28.33 2.778
8: 154.54.30.54 40.011
9: 154.54.3.133 49.97
10: 154.54.28.74 50.607
11: 154.54.11.50 49.925
12: 107.14.17.235 62.76
13: 66.109.9.40 63.979
14: 66.109.6.20 65.217
15: 66.109.1.197 61.827
16: 184.24.41.106 62.647
src 184.24.41.106
1: 172.16.4.1 1.863
2: 208.79.49.27 2.662
3: 208.79.48.5 1.319
4: 208.79.48.10 1.273
5: 173.219.66.49 137.014
6: 208.180.49.9 10.266
7: 173.219.231.20 9.838
8: 66.76.31.37 19.504
9: 66.76.30.177 231.595
10: 66.76.104.34 9.251
11: 66.109.9.104 33.518
12: 66.109.9.40 36.918
13: 66.109.6.20 37.574
14: 66.109.6.189 34.86
15: 184.24.41.106 33.365
src 184.24.41.106
1: 172.16.0.1 4.679
2: 128.8.128.197 4.868
3: 128.8.128.1 7.572
4: 128.8.239.65 8.539
5: 129.2.0.113 5.464
6: 129.2.0.82 25.127
7: 128.8.0.226 12.303
8: 206.196.177.86 7.882
9: 206.196.178.80 7.273
10: 198.71.47.41 7.956
11: 107.14.16.81 7.503
12: 107.14.19.132 77.751
13: 66.109.6.31 44.345
14: 66.109.6.29 41.638
15: 66.109.6.27 46.881
16: 66.109.6.25 41.995
17: 107.14.17.199 48.617
18: 184.24.41.106 32.789
src 184.24.41.106
1: 10.50.10.1 1.62
2: 10.50.0.1 0.4
3: 199.255.10.41 2.762
4: 10.10.50.1 3.739
5: 10.10.10.113 1.389
6: 10.10.10.173 1.966
7: 66.194.117.17 2.177
8: 35.248.2.182 10.774
9: 4.68.111.213 11.556
10: ***
11: 66.109.9.73 18.931
12: 66.109.6.166 39.363
13: 66.109.6.29 37.658
14: 66.109.6.27 39.98
15: 66.109.6.25 37.976
16: 107.14.17.199 80.58
17: 184.24.41.106 36.945
src 184.24.41.106
1: 192.168.0.1 0.854
2: 10.0.0.1 183.355
3: ***
4: 10.100.1.1 184.736
5: 104.251.191.5 183.719
6: 63.218.178.54 190.545
7: 63.218.7.62 190.753
8: 66.109.6.140 244.096
9: 66.109.6.9 257.855
10: 66.109.3.240 245.379
11: 66.109.1.197 243.809
12: 184.24.41.106 245.681
src 184.24.41.106
1: 192.168.0.1 2.2
2: 104.32.224.1 14.913
3: 76.167.27.181 18.531
4: 72.129.14.96 22.509
5: 72.129.13.0 25.478
6: 66.109.3.230 25.087
7: 66.109.3.204 84.125
8: 66.109.6.20 79.605
9: 66.109.6.189 70.006
10: 184.24.41.106 71.663
src 184.24.41.106
1: 128.2.240.129 0.88
2: 128.2.255.153 0.574
3: 128.2.255.250 23.847
4: 38.140.44.153 1.567
5: 154.24.42.97 1.312
6: 154.54.83.117 4.505
7: 154.54.6.221 17.253
8: 154.54.42.165 23.412
9: 154.54.3.133 33.616
10: 154.54.28.74 33.227
11: 154.54.11.50 32.998
12: 107.14.17.233 35.697
13: 66.109.6.23 38.8
14: 66.109.6.20 38.129
15: 66.109.1.197 35.154
16: 184.24.41.106 34.572
src 198.35.26.96
1: 64.73.48.3 1.059
2: 64.73.0.110 0.794
3: 205.173.177.10 0.884
4: 184.105.18.145 1.834
5: 184.105.222.57 6.882
6: 184.105.222.173 63.581
7: ***
8: 198.35.26.96 61.428
src 198.35.26.96
1: 204.124.19.98 14.181
2: 208.185.21.173 3.782
3: 64.125.28.14 2.805
4: 64.125.25.166 13.134
5: 64.125.25.137 28.215
6: 64.125.24.226 8.576
7: 209.133.4.58 4.501
8: 198.35.26.96 4.907
src 198.35.26.96
1: 141.213.135.2 906.668
2: 198.108.11.16 12.953
3: 141.211.0.150 7.929
4: 141.211.0.162 18.084
5: 192.12.80.138 10.581
6: 192.12.80.33 4.659
7: 198.108.23.50 5.114
8: 198.71.47.25 119.891
9: 64.57.20.106 36.735
10: 64.125.20.121 38.104
11: 64.125.30.248 89.59
12: 64.125.29.45 110.555
13: 64.125.28.103 92.176
14: 64.125.29.21 140.068
15: 64.125.28.196 299.235
16: 64.125.30.233 106.147
17: 64.125.24.226 90.544
18: 209.133.4.58 91.263
19: 198.35.26.96 86.403
src 198.35.26.96
1: 192.0.39.209 4.145
2: 192.0.35.241 3.871
3: 204.1.254.149 6.648
4: 129.250.4.207 13.833
5: 129.250.4.106 4.64
6: 129.250.4.150 16.021
7: 129.250.3.27 14.433
8: 129.250.5.32 30.542
9: 129.250.204.6 58.3
10: 198.35.26.96 13.75
src 198.35.26.96
1: 204.115.118.2 0.933
2: 63.234.91.241 5.032
3: 67.14.5.26 4.748
4: 129.250.8.157 5.562
5: 129.250.3.180 5.406
6: 129.250.4.13 76.913
7: 129.250.2.54 78.903
8: 129.250.3.124 86.417
9: 129.250.3.175 87.278
10: 129.250.5.32 86.74
11: 129.250.204.6 87.558
12: 198.35.26.96 86.875
src 198.35.26.96
1: 38.103.8.17 1.538
2: 64.124.201.81 0.567
3: 64.125.24.254 1.157
4: 64.125.31.129 2.847
5: 64.125.30.248 89.49
6: 64.125.29.45 76.653
7: 64.125.28.103 73.095
8: 64.125.29.21 109.649
9: 64.125.28.196 73.113
10: 64.125.30.233 74.139
11: 64.125.24.226 72.812
12: 209.133.4.58 72.845
13: 198.35.26.96 152.272
src 198.35.26.96
1: 69.172.135.33 0.865
2: 10.100.101.37 1.818
3: 10.100.101.60 29.199
4: 10.100.101.49 24.142
5: 69.172.135.177 29.84
6: 69.172.128.13 44.695
7: 108.60.130.141 42.949
8: 108.60.141.134 42.854
9: 69.9.32.101 40.565
10: 108.60.128.69 40.73
11: 62.115.42.41 36.535
12: 62.115.112.114 46.301
13: 80.91.245.96 121.408
14: 80.239.192.66 121.641
15: 198.35.26.96 121.15
src 198.35.26.96
1: 162.223.16.141 0.66
2: 204.238.76.49 0.853
3: 204.238.76.54 4.764
4: ***
5: 64.125.20.121 8.188
6: 64.125.30.248 76.481
7: 64.125.29.45 75.377
8: 64.125.28.103 82.588
9: 64.125.29.21 75.527
10: 64.125.28.196 75.762
11: 64.125.30.233 76.242
12: 64.125.24.226 75.282
13: 209.133.4.58 77.961
14: 198.35.26.96 97.342
src 198.35.26.96
1: 128.3.124.1 9.126
2: 131.243.244.130 0.752
3: 198.129.78.21 2.796
4: 134.55.38.146 2.871
5: 206.223.116.86 2.892
6: 64.125.31.12 3.794
7: 64.125.24.186 4.948
8: 64.125.25.62 23.786
9: 209.133.4.58 4.815
10: 198.35.26.96 4.633
src 198.35.26.96
1: 128.210.125.1 1.238
2: 192.5.40.8 3.103
3: 192.5.40.82 2.382
4: 64.57.21.13 7.099
5: 64.57.20.110 7.139
6: 64.125.31.69 7.864
7: 64.125.21.254 36.269
8: 64.125.31.153 40.528
9: 64.125.25.53 66.67
10: 64.125.24.186 67.331
11: 64.125.25.62 67.056
12: 209.133.4.58 65.65
13: 198.35.26.96 65.579
src 198.35.26.96
1: 10.0.1.1 5.019
2: 128.4.25.1 51.456
3: 128.175.111.135 1.454
4: 128.175.111.137 2.792
5: 128.175.111.139 2.586
6: 128.175.111.101 2.59
7: 50.204.84.241 3.184
8: 68.85.159.217 3.395
9: 69.139.192.109 5.719
10: 68.86.93.173 10.272
11: 68.86.84.238 8.334
12: 50.242.151.70 8.1
13: 129.250.3.97 8.191
14: 129.250.2.166 36.287
15: 129.250.2.163 29.934
16: 129.250.5.17 80.752
17: 129.250.3.27 81.394
18: 129.250.5.32 81.322
19: 129.250.204.6 82.181
20: 198.35.26.96 82.005
src 198.35.26.96
1: 192.94.214.254 300.402
2: 192.70.178.1 4.5
3: 165.117.254.93 12.073
4: 216.156.0.33 33.033
5: 207.88.14.161 7.983
6: 206.111.0.226 16.638
7: 62.115.115.149 6.926
8: 213.155.130.211 80.488
9: 80.239.192.66 80.896
10: 198.35.26.96 284.612
src 198.35.26.96
1: 198.180.152.3 367.847
2: 157.238.224.149 7.957
3: 129.250.3.211 26.555
4: 129.250.4.154 55.601
5: 129.250.3.175 46.963
6: 129.250.5.32 43.457
7: 129.250.204.6 56.059
8: 198.35.26.96 54.11
src 198.35.26.96
1: 199.115.158.226 0.623
2: 199.115.158.130 0.615
3: 209.51.161.29 0.696
4: 184.105.213.177 63.955
5: ***
6: 198.35.26.96 62.451
src 198.35.26.96
1: 65.22.12.226 0.478
2: 38.104.95.233 0.9
3: 154.54.45.157 1.206
4: 154.54.11.74 30.802
5: 64.125.28.18 25.612
6: 64.125.21.105 35.477
7: 64.125.30.240 76.051
8: 64.125.28.103 76.08
9: 64.125.29.21 76.052
10: 64.125.28.196 76.064
11: 64.125.30.233 75.099
12: 64.125.24.226 76.046
13: 209.133.4.58 76.32
14: 198.35.26.96 75.147
src 198.35.26.96
1: 209.58.135.172 0.324
2: 209.58.135.198 1.237
3: 38.122.94.53 0.847
4: 154.24.30.37 1.618
5: 154.54.5.217 2.044
6: 154.54.6.106 2.247
7: 154.54.10.194 1.469
8: 64.125.31.14 2.76
9: 64.125.24.226 4.442
10: 209.133.4.58 2.549
11: 198.35.26.96 2.866
src 198.35.26.96
1: 172.16.4.1 1.558
2: 208.79.49.27 1.885
3: 208.79.48.5 1.636
4: 12.250.29.249 7.499
5: 12.122.157.118 21.302
6: ***
7: 12.123.16.77 20.04
8: 129.250.8.237 14.446
9: 129.250.6.128 13.899
10: 129.250.4.154 51.66
11: 129.250.3.175 53.945
12: 129.250.5.32 56.35
13: 129.250.204.6 53.143
14: 198.35.26.96 54.577
src 198.35.26.96
1: 172.16.0.1 26.582
2: 128.8.128.197 2.784
3: 128.8.128.1 6.013
4: 128.8.239.65 8.658
5: 129.2.0.113 4.24
6: 129.2.0.82 75.398
7: 128.8.0.230 5.46
8: 172.85.52.93 6.487
9: 72.22.160.148 12.614
10: 216.66.32.97 5.589
11: 184.105.213.177 67.743
12: ***
13: 198.35.26.96 69.4
src 198.35.26.96
1: 10.50.10.1 1.557
2: 10.50.0.1 0.474
3: 199.255.10.41 0.961
4: 10.10.50.1 2.352
5: 10.10.10.113 1.709
6: 10.10.10.173 1.724
7: 66.194.117.17 2.094
8: 35.248.2.182 10.572
9: 4.68.111.213 11.312
10: ***
11: 4.68.71.238 11.987
12: 129.250.2.132 19.681
13: 129.250.6.237 147.074
14: 129.250.3.27 81.008
15: 129.250.5.32 82.104
16: 129.250.204.6 81.338
17: 198.35.26.96 81.127
src 198.35.26.96
1: 192.168.1.1 3.967
2: 10.157.0.1 6.969
3: 172.23.64.89 6.899
4: 213.248.103.73 12.671
5: 213.155.134.162 20.083
6: 80.91.252.220 91.785
7: 80.239.192.66 85.201
8: 198.35.26.96 83.544
src 198.35.26.96
1: 192.168.0.1 0.66
2: 10.0.0.1 182.868
3: ***
4: 10.100.1.1 183.082
5: 173.205.57.53 183.299
6: 80.239.161.89 184.104
7: 62.115.138.98 199.567
8: 80.239.192.66 197.427
9: 198.35.26.96 195.446
src 198.35.26.96
1: 192.168.254.254 1.722
2: 74.42.148.225 21.481
3: 74.42.151.57 21.99
4: 74.40.3.34 87.881
5: 74.40.5.154 86.755
6: 74.40.5.145 87.466
7: 74.40.5.150 86.702
8: 74.40.3.170 86.832
9: 198.32.176.214 89.119
10: 198.35.26.96 87.585
src 198.35.26.96
1: 192.168.0.1 4.239
2: 104.32.224.1 17.589
3: 76.167.27.181 21.919
4: 72.129.14.96 22.04
5: 72.129.13.0 28.833
6: 66.109.6.102 28.665
7: 66.109.6.5 29.917
8: 66.109.1.219 27.993
9: 62.115.36.57 24.353
10: 62.115.116.40 46.994
11: 80.239.192.66 27.712
12: 198.35.26.96 23.202
src 198.35.26.96
1: 128.2.240.129 0.998
2: 128.2.255.153 0.754
3: 128.2.255.250 0.495
4: 38.140.44.153 1.4
5: 154.24.42.97 1.382
6: 154.54.83.53 10.752
7: 154.54.31.110 11.554
8: 154.54.10.174 11.284
9: 64.125.20.117 12.895
10: 64.125.30.246 72.0
11: 64.125.29.49 123.023
12: 64.125.28.99 70.615
13: 64.125.29.53 77.801
14: 64.125.28.144 71.911
15: 64.125.30.231 73.178
16: 64.125.24.186 73.873
17: 64.125.25.62 71.696
18: 209.133.4.58 71.992
19: 198.35.26.96 73.797
src 198.35.26.96
1: 128.9.112.7 4.535
2: 198.32.16.30 24.146
3: 130.152.181.121 3.769
4: 216.218.223.25 704.718
5: 184.105.81.237 12.121
6: 198.32.176.214 17.564
7: 198.35.26.96 11.753
src 104.70.76.128
1: 64.73.48.3 1.113
2: 64.73.0.106 0.77
3: 205.173.177.10 0.854
4: 184.105.18.145 2.964
5: 184.105.222.57 54.644
6: 184.105.81.97 14.62
7: 50.248.119.85 7.149
8: 68.86.83.49 10.728
9: 68.86.85.201 31.261
10: 68.86.85.161 32.493
11: 68.86.83.86 30.688
12: 104.70.76.128 32.036
src 104.70.76.128
1: 204.124.19.98 282.511
2: 208.185.21.173 4.464
3: 64.125.28.14 3.924
4: 64.125.25.166 3.803
5: 64.125.25.137 18.865
6: 64.125.31.15 13.761
7: 75.149.228.133 5.076
8: 68.86.86.209 6.678
9: 68.86.87.157 13.34
10: 68.86.86.98 33.622
11: 68.86.87.174 41.937
12: 68.86.85.21 65.588
13: 68.86.85.9 139.203
14: 68.86.85.70 94.044
15: 104.70.76.128 131.031
src 104.70.76.128
1: 141.213.135.2 16.787
2: 198.108.11.16 3.336
3: 141.211.0.150 4.746
4: 141.211.0.162 3.785
5: 192.12.80.138 3.118
6: 192.12.80.33 3.075
7: 198.108.22.97 15.764
8: 66.208.228.141 13.072
9: 68.86.89.169 12.727
10: 68.86.85.201 29.439
11: 68.86.85.161 33.865
12: 68.86.88.106 42.847
13: 104.70.76.128 34.36
src 104.70.76.128
1: 192.0.39.209 5.345
2: 192.0.35.241 5.844
3: 204.1.254.149 8.218
4: 129.250.4.207 7.756
5: 50.242.151.61 6.32
6: 68.86.85.93 7.125
7: 68.86.87.174 43.298
8: 68.86.85.21 76.899
9: 68.86.85.9 136.578
10: 68.86.85.70 75.237
11: 104.70.76.128 69.264
src 104.70.76.128
1: 204.115.118.2 0.918
2: 63.234.91.241 5.097
3: 205.171.134.54 5.376
4: 75.149.231.13 5.633
5: 68.86.83.97 6.151
6: 68.86.85.161 13.201
7: 68.86.88.106 10.875
8: 104.70.76.128 11.861
src 104.70.76.128
1: 38.103.8.17 1.513
2: 64.124.201.81 0.52
3: 64.125.24.254 1.068
4: 64.125.31.129 3.124
5: 64.125.20.122 2.012
6: 64.125.12.146 2.615
7: 68.86.89.61 3.633
8: 68.86.88.158 2.774
9: 104.70.76.128 2.536
src 104.70.76.128
1: 69.172.135.33 1.649
2: 10.100.101.37 1.682
3: 10.100.101.60 28.052
4: 10.100.101.49 26.273
5: 69.172.135.177 25.585
6: 69.172.128.13 42.665
7: 108.60.130.141 46.494
8: 108.60.141.134 45.13
9: 69.9.32.101 43.104
10: 108.60.128.69 46.344
11: 129.250.194.105 40.077
12: 129.250.6.176 45.697
13: 50.242.151.69 41.263
14: 68.86.87.225 49.497
15: 68.86.85.161 49.957
16: 68.86.85.70 46.723
17: 104.70.76.128 56.2
src 104.70.76.128
1: 162.223.16.141 1.491
2: 204.238.76.49 0.668
3: 204.238.76.54 4.87
4: 75.149.228.81 13.303
5: 104.70.76.128 13.445
src 104.70.76.128
1: 128.3.124.1 11.396
2: 131.243.244.130 0.67
3: 198.129.78.21 2.611
4: 134.55.38.146 2.768
5: 198.129.44.54 2.859
6: ***
7: 66.198.127.1 5.285
8: 66.198.127.14 4.022
9: 68.86.86.69 3.989
10: 68.86.86.98 12.908
11: 68.86.87.174 72.826
12: 68.86.85.21 71.031
13: 68.86.85.9 72.863
14: 68.86.83.74 71.659
15: 104.70.76.128 71.045
src 104.70.76.128
1: 128.210.125.1 1.942
2: 192.5.40.10 1.257
3: 192.5.40.65 3.256
4: 192.5.40.82 2.361
5: 64.57.21.13 7.067
6: 162.252.69.150 7.886
7: 68.86.89.169 8.228
8: 68.86.85.201 32.537
9: 68.86.85.161 30.476
10: 68.86.83.82 28.245
11: 104.70.76.128 28.226
src 104.70.76.128
1: 10.0.1.1 0.543
2: 128.4.25.1 1.591
3: 128.175.111.135 1.282
4: 128.175.111.137 2.387
5: 38.112.7.61 3.116
6: 154.54.1.253 3.173
7: 154.54.42.89 7.302
8: 154.54.7.158 17.88
9: 154.54.6.102 17.934
10: 50.248.117.45 18.625
11: 68.86.85.253 19.117
12: 68.86.85.9 19.949
13: 68.86.83.70 18.735
14: 104.70.76.128 18.728
src 104.70.76.128
1: 192.94.214.254 4.814
2: 192.70.178.1 8.589
3: 165.117.254.93 6.356
4: 216.156.0.33 12.716
5: 207.88.12.99 21.358
6: 207.88.14.167 8.135
7: 50.242.151.189 13.809
8: 68.86.82.221 13.917
9: 68.86.83.82 15.103
10: 104.70.76.128 9.026
src 104.70.76.128
1: 198.180.152.3 44.963
2: 157.238.224.149 5.249
3: 129.250.3.107 8.073
4: 129.250.66.30 51.017
5: 68.86.86.173 5.725
6: 68.86.85.21 61.193
7: 68.86.85.9 44.423
8: 68.86.83.70 52.044
9: 104.70.76.128 43.877
src 104.70.76.128
1: 65.22.12.226 0.487
2: 38.104.95.233 0.933
3: 154.54.45.157 1.129
4: 50.248.118.241 1.089
5: 68.86.82.77 1.49
6: 68.86.84.153 13.676
7: 68.86.85.9 28.801
8: 68.86.83.86 28.594
9: 104.70.76.128 28.431
src 104.70.76.128
1: 209.58.135.172 0.711
2: 209.58.135.194 3.895
3: 38.122.94.73 1.038
4: 154.24.30.37 1.502
5: 154.54.5.217 2.888
6: 154.54.6.106 3.482
7: 154.54.5.106 5.47
8: 50.248.118.237 4.914
9: ***
10: 68.86.86.98 12.453
11: 68.86.87.174 47.158
12: 68.86.85.21 62.632
13: 68.86.85.9 74.279
14: 68.86.85.74 73.813
15: 104.70.76.128 74.094
src 104.70.76.128
1: 172.16.4.1 1.596
2: 208.79.49.27 5.193
3: 208.79.48.5 1.291
4: 12.250.29.249 7.139
5: 12.122.157.118 21.077
6: ***
7: 12.123.16.109 17.726
8: 75.149.230.161 18.375
9: 68.86.83.121 19.593
10: 68.86.85.21 37.915
11: 68.86.85.9 45.038
12: 68.86.88.106 42.769
13: 104.70.76.128 42.512
src 104.70.76.128
1: 172.16.0.1 358.48
2: 128.8.128.197 1.982
3: 128.8.128.1 6.621
4: 128.8.239.65 3.818
5: 129.2.0.113 3.782
6: 129.2.0.82 75.182
7: 128.8.0.226 19.164
8: 206.196.177.86 4.772
9: 206.196.178.80 14.325
10: 198.71.47.41 7.205
11: 75.149.228.81 7.099
12: 104.70.76.128 6.324
src 104.70.76.128
1: 10.50.10.1 7.438
2: 10.50.0.1 0.604
3: 199.255.10.41 1.606
4: 10.10.50.1 2.67
5: 10.10.10.113 3.778
6: 10.10.10.173 1.55
7: 66.194.117.17 2.11
8: 64.129.238.174 10.634
9: 4.68.111.213 10.93
10: 4.69.159.169 11.408
11: 4.69.159.169 11.363
12: 23.30.207.93 13.232
13: 68.86.86.54 11.838
14: 104.70.76.128 11.767
src 104.70.76.128
1: 192.168.1.1 0.558
2: 10.157.0.1 6.436
3: 172.23.64.89 5.714
4: 38.122.47.53 14.21
5: 50.248.117.45 12.87
6: 68.86.86.17 15.45
7: 68.86.85.9 27.352
8: 68.86.86.50 26.552
9: 104.70.76.128 26.296
src 104.70.76.128
1: 192.168.0.1 3.238
2: 10.0.0.1 183.216
3: ***
4: 10.100.1.1 182.609
5: 216.168.64.17 184.443
6: 50.248.118.249 183.581
7: 68.86.85.97 184.114
8: 68.86.87.174 221.964
9: 68.86.85.21 234.926
10: 68.86.85.9 250.502
11: 68.86.83.70 244.814
12: ***
src 104.70.76.128
1: 192.168.254.254 7.602
2: 74.42.148.225 21.642
3: 74.42.151.57 21.401
4: 74.40.3.34 26.69
5: 74.40.4.142 26.964
6: 12.250.102.29 33.989
7: 12.122.132.142 30.532
8: 12.122.132.157 29.759
9: 192.205.37.22 28.648
10: 68.86.89.141 28.298
11: 68.86.85.201 50.324
12: 68.86.85.161 50.757
13: 68.86.83.70 49.502
14: 104.70.76.128 49.33
src 104.70.76.128
1: 192.168.0.1 3.464
2: 104.32.224.1 20.079
3: 76.167.27.181 23.634
4: 72.129.14.96 29.512
5: 72.129.13.0 16.042
6: 66.109.6.102 29.753
7: 107.14.17.248 28.872
8: 50.248.118.177 27.435
9: 68.86.85.97 28.158
10: 68.86.87.174 59.777
11: 68.86.85.21 78.144
12: 68.86.85.9 121.093
13: 68.86.86.54 90.279
14: 104.70.76.128 82.968
src 104.70.76.128
1: 128.2.240.129 31.096
2: 128.2.0.153 0.89
3: 128.2.0.250 0.486
4: 50.202.216.185 1.091
5: 68.85.75.189 1.708
6: 69.139.168.34 2.149
7: 68.86.91.25 12.042
8: 68.86.83.74 11.104
9: 104.70.76.128 10.291
src 104.70.76.128
1: 128.9.112.7 4.177
2: 198.32.16.30 2.508
3: 137.164.23.225 4.247
4: 64.57.20.80 63.68
5: 64.57.20.127 51.958
6: 66.208.233.137 3.931
7: 68.86.85.93 5.239
8: 68.86.87.174 37.972
9: 68.86.85.21 62.117
10: 68.86.85.9 69.988
11: 68.86.88.158 107.128
12: 104.70.76.128 70.694
src 104.70.76.128
1: 199.115.158.226 0.759
2: 173.205.57.33 0.527
3: 23.30.206.205 1.069
4: 68.86.88.77 2.971
5: 68.86.83.78 0.956
6: 104.70.76.128 0.922
src 54.236.158.240
1: 64.73.48.2 1.12
2: 64.73.0.118 0.795
3: 205.173.177.46 4.565
4: 130.94.195.165 5.693
