src 104.85.118.250
src 104.85.118.250
1: 192.168.0.1 2.899
2: 104.32.224.1 18.843
3: 76.167.27.181 18.912
4: 72.129.14.96 15.403
5: 72.129.13.0 19.16
6: 66.109.3.230 18.671
7: 107.14.17.250 16.89
8: 50.248.118.177 17.136
9: 68.86.85.97 106.501
10: 68.86.87.174 49.731
11: 68.86.85.21 69.067
12: 68.86.85.9 89.614
13: 68.86.83.2 78.813
14: 104.85.118.250 99.493
src 104.85.118.250
1: 128.2.240.129 2.823
2: 128.2.0.153 2.569
3: 128.2.0.250 2.538
4: 50.202.216.185 3.453
5: 68.85.75.189 4.181
6: 69.139.168.34 4.312
7: 68.86.91.25 13.414
8: 68.86.83.70 12.71
9: 104.85.118.250 12.988
src 104.85.118.250
1: 192.94.214.254 2.001
2: 192.70.178.1 1.848
3: 165.117.254.93 5.503
4: 216.156.0.33 6.151
5: 207.88.12.99 10.045
6: 207.88.14.167 5.863
7: 50.242.151.189 11.12
8: 68.86.88.77 6.583
9: 68.86.83.66 5.752
10: 104.85.118.250 5.823
src 104.85.118.250
1: 128.9.112.7 1.986
2: 198.32.16.30 7.696
3: 137.164.23.225 5.709
4: 64.57.20.80 51.421
5: 64.57.20.127 51.65
6: 66.208.233.137 2.921
7: 68.86.85.93 6.333
8: 68.86.87.174 35.536
9: 68.86.85.21 53.298
10: 68.86.85.9 68.241
11: 68.86.88.106 67.652
12: 104.85.118.250 69.926
src 104.85.118.250
1: 198.180.152.3 233.269
2: 157.238.224.149 2.034
3: 129.250.3.107 2.721
4: 129.250.66.30 2.42
5: 68.86.89.237 3.264
6: 68.86.85.21 24.378
7: 68.86.85.9 37.683
8: 68.86.83.78 38.82
9: 104.85.118.250 36.314
src 104.85.118.250
1: 199.115.158.226 1.834
2: 173.205.57.33 0.825
3: 23.30.206.205 2.906
4: 68.86.88.77 1.599
5: 68.86.88.158 0.991
6: 104.85.118.250 1.268
src 104.85.118.250
1: 65.22.12.226 0.717
2: 38.104.95.233 0.79
3: 154.54.45.157 1.329
4: 50.248.118.241 1.112
5: 68.86.84.189 1.817
6: 68.86.84.153 14.657
7: 68.86.85.9 29.796
8: 68.86.83.82 28.484
9: 104.85.118.250 28.503
src 104.85.118.250
1: 209.58.135.172 0.314
2: 209.58.135.194 0.656
3: 38.122.94.73 0.842
4: 154.24.30.37 1.055
5: 154.54.5.217 1.533
6: 154.54.6.106 3.627
7: 154.54.5.106 2.856
8: 50.248.118.237 2.892
9: 68.86.86.165 3.67
10: 68.86.86.98 14.58
11: 68.86.87.174 47.824
12: 68.86.85.21 64.649
13: 68.86.85.9 76.961
14: 68.86.86.54 73.136
15: 104.85.118.250 74.271
src 54.197.238.114
1: 64.73.48.3 20.393
2: 64.73.0.122 0.742
3: 205.173.177.46 4.584
4: 130.94.195.165 5.056
5: 129.250.201.106 7.638
6: 52.95.62.74 17.133
7: 52.95.62.81 6.193
8: ***
9: ***
10: ***
11: ***
12: 54.239.110.227 47.964
13: 54.239.109.115 25.843
14: 205.251.245.121 23.316
15: ***
16: ***
17: ***
18: ***
19: ***
255: ***
src 54.197.238.114
1: 204.124.19.98 17.679
2: 208.185.21.173 2.6
3: 64.125.28.14 3.814
4: 64.125.25.166 2.967
5: 64.125.25.137 14.471
6: 64.125.30.232 91.149
7: 64.125.28.197 74.321
8: 64.125.29.20 73.542
9: 64.125.28.102 73.649
10: 64.125.29.44 73.695
11: 64.125.30.249 72.991
12: 64.125.31.42 73.72
13: 64.125.12.30 74.465
14: ***
15: ***
16: 54.239.110.167 2172.525
17: 54.239.108.167 75.103
18: 205.251.245.123 139.381
19: ***
20: ***
21: ***
22: ***
23: ***
255: ***
src 54.197.238.114
1: 141.213.135.2 3.451
2: 198.108.11.16 14.18
3: 141.211.0.150 2.314
4: 141.211.0.162 2.32
5: 192.12.80.138 2.1
6: 192.12.80.15 1.707
7: 198.71.45.249 17.114
8: 64.57.28.0 286.032
9: 198.71.46.9 35.788
10: ***
11: ***
12: 54.239.110.145 2183.894
13: 54.239.108.65 27.597
14: 205.251.245.123 28.39
15: ***
16: ***
17: ***
18: ***
19: ***
255: ***
src 54.197.238.114
1: 192.0.39.209 2.004
2: 192.0.35.241 2.021
3: 204.1.254.149 3.816
4: 129.250.4.207 39.819
5: 129.250.3.122 3.802
6: 129.250.7.68 37.274
7: 129.250.3.166 33.741
8: 129.250.201.162 36.36
9: ***
10: ***
11: ***
12: ***
13: 205.251.244.48 148.351
14: ***
15: ***
16: 54.239.110.161 85.104
17: 54.239.111.33 88.627
18: 205.251.244.207 99.187
19: ***
20: ***
21: ***
22: ***
23: ***
255: ***
src 54.197.238.114
1: 172.16.4.1 17.466
2: 208.79.49.27 2.108
3: 208.79.48.5 1.321
4: 12.250.29.249 7.32
5: 12.122.157.118 18.143
6: ***
7: 12.122.138.197 39.925
8: ***
9: ***
10: 176.32.125.147 17.836
11: 54.240.229.240 48.044
12: 54.239.41.168 50.944
13: ***
14: ***
15: 54.239.110.171 51.065
16: 54.239.108.235 47.572
17: 205.251.245.47 47.527
18: ***
19: ***
20: ***
21: ***
22: ***
255: ***
src 54.197.238.114
1: 172.16.0.1 271.848
2: 128.8.128.197 7.959
3: 128.8.128.1 6.176
4: 128.8.239.65 6.537
5: 129.2.0.113 6.227
6: 129.2.0.86 6.348
7: 129.2.0.230 6.685
8: 128.8.7.185 14.815
9: 52.95.51.34 15.184
10: ***
11: ***
12: 54.239.110.183 1341.914
13: 54.239.111.39 11.55
14: 205.251.244.207 50.455
15: ***
16: ***
17: ***
18: ***
19: ***
255: ***
src 54.197.238.114
1: 204.115.118.2 10.042
2: 63.234.91.241 5.279
3: 67.14.36.10 64.497
4: 65.120.78.82 9.566
5: ***
6: ***
7: 54.239.110.219 831.758
8: 54.239.111.107 10.453
9: 205.251.244.229 10.265
10: ***
11: ***
12: ***
13: ***
14: ***
255: ***
src 54.197.238.114
1: 38.103.8.17 0.813
2: 64.124.201.81 0.516
3: 64.125.24.254 0.927
4: 64.125.31.129 1.478
5: 64.125.31.42 2.332
6: 64.125.12.30 2.219
7: ***
8: ***
9: 54.239.110.139 60.113
10: 54.239.108.235 2.754
11: 205.251.245.123 2.729
12: ***
13: ***
14: ***
15: ***
16: ***
255: ***
src 54.197.238.114
1: 69.172.135.33 0.871
2: 10.100.101.37 1.639
