CA,147,0.118739903069,Canada
GB,19,0.0153473344103,Great Britain
IT,157,0.126817447496,Italy
MX,6,0.0048465266559,Mexico
FR,14,0.0113085621971,France
US,1007,0.813408723748,United States
CN,8,0.0064620355412,China
IE,1,0.000807754442649,Ireland
NZ,3,0.00242326332795,New Zealand
ES,207,0.167205169628,Spain
